# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 11.1 Build 259 01/25/2012 Service Pack 2 SJ Web Edition
# File: C:\Users\sunhee\Desktop\DE0_Default.csv
# Generated on: Mon Sep 01 16:39:48 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair,Slew Rate
SW[3],Unknown,PIN_G4,1,B1_N0,3.3-V LVTTL,,,,
SW[2],Unknown,PIN_H6,1,B1_N0,3.3-V LVTTL,,,,
SW[1],Unknown,PIN_H5,1,B1_N0,3.3-V LVTTL,,,,
SW[0],Unknown,PIN_J6,1,B1_N0,3.3-V LVTTL,,,,
BUTTON[2],Unknown,PIN_F1,1,B1_N0,3.3-V LVTTL,,,,
BUTTON[1],Unknown,PIN_G3,1,B1_N0,3.3-V LVTTL,,,,
BUTTON[0],Unknown,PIN_H2,1,B1_N1,3.3-V LVTTL,,,,
FL_ADDR[21],Unknown,PIN_R2,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[20],Unknown,PIN_P3,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[19],Unknown,PIN_P1,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[18],Unknown,PIN_M6,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[17],Unknown,PIN_M5,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[16],Unknown,PIN_AA2,2,B2_N1,3.3-V LVTTL,,,,
FL_ADDR[15],Unknown,PIN_L6,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[14],Unknown,PIN_L7,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[13],Unknown,PIN_M1,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[12],Unknown,PIN_M2,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[11],Unknown,PIN_M3,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[10],Unknown,PIN_N1,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[9],Unknown,PIN_N2,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[8],Unknown,PIN_P2,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[7],Unknown,PIN_M4,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[6],Unknown,PIN_M8,2,B2_N1,3.3-V LVTTL,,,,
FL_ADDR[5],Unknown,PIN_N6,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[4],Unknown,PIN_N5,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[3],Unknown,PIN_N7,2,B2_N1,3.3-V LVTTL,,,,
FL_ADDR[2],Unknown,PIN_P6,2,B2_N1,3.3-V LVTTL,,,,
FL_ADDR[1],Unknown,PIN_P5,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDR[0],Unknown,PIN_P7,2,B2_N1,3.3-V LVTTL,,,,
FL_BYTE_N,Unknown,PIN_AA1,2,B2_N1,3.3-V LVTTL,,,,
FL_CE_N,Unknown,PIN_N8,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[0],Unknown,PIN_R7,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[1],Unknown,PIN_P8,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[2],Unknown,PIN_R8,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[3],Unknown,PIN_U1,2,B2_N0,3.3-V LVTTL,,,,
FL_DQ[4],Unknown,PIN_V2,2,B2_N0,3.3-V LVTTL,,,,
FL_DQ[5],Unknown,PIN_V3,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[6],Unknown,PIN_W1,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[7],Unknown,PIN_Y1,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[8],Unknown,PIN_T5,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[9],Unknown,PIN_T7,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[10],Unknown,PIN_T4,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[11],Unknown,PIN_U2,2,B2_N0,3.3-V LVTTL,,,,
FL_DQ[12],Unknown,PIN_V1,2,B2_N0,3.3-V LVTTL,,,,
FL_DQ[13],Unknown,PIN_V4,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ[14],Unknown,PIN_W2,2,B2_N1,3.3-V LVTTL,,,,
FL_OE_N,Unknown,PIN_R6,2,B2_N1,3.3-V LVTTL,,,,
FL_RST_N,Unknown,PIN_R1,2,B2_N0,3.3-V LVTTL,,,,
FL_RY,Unknown,PIN_M7,2,B2_N0,3.3-V LVTTL,,,,
FL_WE_N,Unknown,PIN_P4,2,B2_N0,3.3-V LVTTL,,,,
FL_WP_N,Unknown,PIN_T3,2,B2_N1,3.3-V LVTTL,,,,
FL_DQ15_AM1,Unknown,PIN_Y2,2,B2_N1,3.3-V LVTTL,,,,
GPIO0_D[31],Unknown,PIN_U7,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[30],Unknown,PIN_V5,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[29],Unknown,PIN_W6,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[28],Unknown,PIN_W7,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[27],Unknown,PIN_V8,3,B3_N0,3.3-V LVTTL,,,,
GPIO0_D[26],Unknown,PIN_T8,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[25],Unknown,PIN_W10,3,B3_N0,3.3-V LVTTL,,,,
GPIO0_D[24],Unknown,PIN_Y10,3,B3_N0,3.3-V LVTTL,,,,
GPIO0_D[23],Unknown,PIN_V11,3,B3_N0,3.3-V LVTTL,,,,
GPIO0_D[22],Unknown,PIN_R10,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[21],Unknown,PIN_V12,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[20],Unknown,PIN_U13,4,B4_N0,3.3-V LVTTL,,,,
GPIO0_D[19],Unknown,PIN_W13,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[18],Unknown,PIN_Y13,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[17],Unknown,PIN_U14,4,B4_N0,3.3-V LVTTL,,,,
GPIO0_D[16],Unknown,PIN_V14,4,B4_N0,3.3-V LVTTL,,,,
GPIO0_D[15],Unknown,PIN_AA4,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[14],Unknown,PIN_AB4,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[13],Unknown,PIN_AA5,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[12],Unknown,PIN_AB5,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_D[11],Unknown,PIN_AA8,3,B3_N0,3.3-V LVTTL,,,,
GPIO0_D[10],Unknown,PIN_AB8,3,B3_N0,3.3-V LVTTL,,,,
GPIO0_D[9],Unknown,PIN_AA10,3,B3_N0,3.3-V LVTTL,,,,
GPIO0_D[8],Unknown,PIN_AB10,3,B3_N0,3.3-V LVTTL,,,,
GPIO0_D[7],Unknown,PIN_AA13,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[6],Unknown,PIN_AB13,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[5],Unknown,PIN_AB14,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[4],Unknown,PIN_AA14,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[3],Unknown,PIN_AB15,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[2],Unknown,PIN_AA15,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[1],Unknown,PIN_AA16,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_D[0],Unknown,PIN_AB16,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_CLKIN[0],Unknown,PIN_AB12,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_CLKIN[1],Unknown,PIN_AA12,4,B4_N1,3.3-V LVTTL,,,,
GPIO0_CLKOUT[0],Unknown,PIN_AB3,3,B3_N1,3.3-V LVTTL,,,,
GPIO0_CLKOUT[1],Unknown,PIN_AA3,3,B3_N1,3.3-V LVTTL,,,,
GPIO1_CLKIN[1],Unknown,PIN_AA11,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_CLKIN[0],Unknown,PIN_AB11,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_CLKOUT[1],Unknown,PIN_T16,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_CLKOUT[0],Unknown,PIN_R16,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[31],Unknown,PIN_V7,3,B3_N1,3.3-V LVTTL,,,,
GPIO1_D[30],Unknown,PIN_V6,3,B3_N1,3.3-V LVTTL,,,,
GPIO1_D[29],Unknown,PIN_U8,3,B3_N1,3.3-V LVTTL,,,,
GPIO1_D[28],Unknown,PIN_Y7,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_D[27],Unknown,PIN_T9,3,B3_N1,3.3-V LVTTL,,,,
GPIO1_D[26],Unknown,PIN_U9,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_D[25],Unknown,PIN_T10,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_D[24],Unknown,PIN_U10,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_D[23],Unknown,PIN_R12,3,B3_N1,3.3-V LVTTL,,,,
GPIO1_D[22],Unknown,PIN_R11,3,B3_N1,3.3-V LVTTL,,,,
GPIO1_D[21],Unknown,PIN_T12,4,B4_N1,3.3-V LVTTL,,,,
GPIO1_D[20],Unknown,PIN_U12,4,B4_N1,3.3-V LVTTL,,,,
GPIO1_D[19],Unknown,PIN_R14,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[18],Unknown,PIN_T14,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[17],Unknown,PIN_AB7,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_D[16],Unknown,PIN_AA7,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_D[15],Unknown,PIN_AA9,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_D[14],Unknown,PIN_AB9,3,B3_N0,3.3-V LVTTL,,,,
GPIO1_D[13],Unknown,PIN_V15,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[12],Unknown,PIN_W15,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[11],Unknown,PIN_T15,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[10],Unknown,PIN_U15,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[9],Unknown,PIN_W17,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[8],Unknown,PIN_Y17,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[7],Unknown,PIN_AB17,4,B4_N1,3.3-V LVTTL,,,,
GPIO1_D[6],Unknown,PIN_AA17,4,B4_N1,3.3-V LVTTL,,,,
GPIO1_D[5],Unknown,PIN_AA18,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[4],Unknown,PIN_AB18,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[3],Unknown,PIN_AB19,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[2],Unknown,PIN_AA19,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[1],Unknown,PIN_AB20,4,B4_N0,3.3-V LVTTL,,,,
GPIO1_D[0],Unknown,PIN_AA20,4,B4_N0,3.3-V LVTTL,,,,
PS2_KBCLK,Unknown,PIN_P22,5,B5_N0,3.3-V LVTTL,,,,
PS2_KBDAT,Unknown,PIN_P21,5,B5_N0,3.3-V LVTTL,,,,
PS2_MSCLK,Unknown,PIN_R21,5,B5_N0,3.3-V LVTTL,,,,
PS2_MSDAT,Unknown,PIN_R22,5,B5_N0,3.3-V LVTTL,,,,
UART_RXD,Unknown,PIN_U22,5,B5_N0,3.3-V LVTTL,,,,
UART_TXD,Unknown,PIN_U21,5,B5_N0,3.3-V LVTTL,,,,
UART_RTS,Unknown,PIN_V22,5,B5_N1,3.3-V LVTTL,,,,
UART_CTS,Unknown,PIN_V21,5,B5_N1,3.3-V LVTTL,,,,
SD_CLK,Unknown,PIN_Y21,5,B5_N1,3.3-V LVTTL,,,,
SD_CMD,Unknown,PIN_Y22,5,B5_N1,3.3-V LVTTL,,,,
SD_DAT0,Unknown,PIN_AA22,5,B5_N1,3.3-V LVTTL,,,,
SD_DAT3,Unknown,PIN_W21,5,B5_N1,3.3-V LVTTL,,,,
SD_WP_N,Unknown,PIN_W20,5,B5_N1,3.3-V LVTTL,,,,
LCD_DATA[7],Unknown,PIN_C20,6,B6_N0,3.3-V LVTTL,,,,
LCD_DATA[6],Unknown,PIN_D20,6,B6_N0,3.3-V LVTTL,,,,
LCD_DATA[5],Unknown,PIN_B21,6,B6_N0,3.3-V LVTTL,,,,
LCD_DATA[4],Unknown,PIN_B22,6,B6_N0,3.3-V LVTTL,,,,
LCD_DATA[3],Unknown,PIN_C21,6,B6_N0,3.3-V LVTTL,,,,
LCD_DATA[2],Unknown,PIN_C22,6,B6_N0,3.3-V LVTTL,,,,
LCD_DATA[1],Unknown,PIN_D21,6,B6_N0,3.3-V LVTTL,,,,
LCD_DATA[0],Unknown,PIN_D22,6,B6_N0,3.3-V LVTTL,,,,
LCD_RW,Unknown,PIN_E22,6,B6_N0,3.3-V LVTTL,,,,
LCD_RS,Unknown,PIN_F22,6,B6_N1,3.3-V LVTTL,,,,
LCD_EN,Unknown,PIN_E21,6,B6_N0,3.3-V LVTTL,,,,
LCD_BLON,Unknown,PIN_F21,6,B6_N0,3.3-V LVTTL,,,,
VGA_G[3],Unknown,PIN_J21,6,B6_N1,3.3-V LVTTL,,,,
VGA_G[2],Unknown,PIN_K17,6,B6_N1,3.3-V LVTTL,,,,
VGA_G[1],Unknown,PIN_J17,6,B6_N0,3.3-V LVTTL,,,,
VGA_G[0],Unknown,PIN_H22,6,B6_N1,3.3-V LVTTL,,,,
VGA_HS,Unknown,PIN_L21,6,B6_N1,3.3-V LVTTL,,,,
VGA_VS,Unknown,PIN_L22,6,B6_N1,3.3-V LVTTL,,,,
VGA_R[3],Unknown,PIN_H21,6,B6_N1,3.3-V LVTTL,,,,
VGA_R[2],Unknown,PIN_H20,6,B6_N0,3.3-V LVTTL,,,,
VGA_R[1],Unknown,PIN_H17,6,B6_N0,3.3-V LVTTL,,,,
VGA_R[0],Unknown,PIN_H19,6,B6_N0,3.3-V LVTTL,,,,
VGA_B[3],Unknown,PIN_K18,6,B6_N1,3.3-V LVTTL,,,,
VGA_B[2],Unknown,PIN_J22,6,B6_N1,3.3-V LVTTL,,,,
VGA_B[1],Unknown,PIN_K21,6,B6_N1,3.3-V LVTTL,,,,
VGA_B[0],Unknown,PIN_K22,6,B6_N1,3.3-V LVTTL,,,,
CLOCK_50,Unknown,PIN_G21,6,B6_N1,3.3-V LVTTL,,,,
HEX0_D[0],Unknown,PIN_E11,7,B7_N1,3.3-V LVTTL,,,,
HEX0_D[1],Unknown,PIN_F11,7,B7_N1,3.3-V LVTTL,,,,
HEX0_D[2],Unknown,PIN_H12,7,B7_N1,3.3-V LVTTL,,,,
HEX0_D[3],Unknown,PIN_H13,7,B7_N1,3.3-V LVTTL,,,,
HEX0_D[4],Unknown,PIN_G12,7,B7_N1,3.3-V LVTTL,,,,
HEX0_D[5],Unknown,PIN_F12,7,B7_N1,3.3-V LVTTL,,,,
HEX0_D[6],Unknown,PIN_F13,7,B7_N1,3.3-V LVTTL,,,,
HEX0_DP,Unknown,PIN_D13,7,B7_N1,3.3-V LVTTL,,,,
HEX1_D[6],Unknown,PIN_A15,7,B7_N1,3.3-V LVTTL,,,,
HEX1_D[5],Unknown,PIN_E14,7,B7_N1,3.3-V LVTTL,,,,
HEX1_D[4],Unknown,PIN_B14,7,B7_N1,3.3-V LVTTL,,,,
HEX1_D[3],Unknown,PIN_A14,7,B7_N1,3.3-V LVTTL,,,,
HEX1_D[2],Unknown,PIN_C13,7,B7_N1,3.3-V LVTTL,,,,
HEX1_D[1],Unknown,PIN_B13,7,B7_N1,3.3-V LVTTL,,,,
HEX1_D[0],Unknown,PIN_A13,7,B7_N1,3.3-V LVTTL,,,,
HEX1_DP,Unknown,PIN_B15,7,B7_N1,3.3-V LVTTL,,,,
HEX2_D[6],Unknown,PIN_F14,7,B7_N0,3.3-V LVTTL,,,,
HEX2_D[5],Unknown,PIN_B17,7,B7_N1,3.3-V LVTTL,,,,
HEX2_D[4],Unknown,PIN_A17,7,B7_N1,3.3-V LVTTL,,,,
HEX2_D[3],Unknown,PIN_E15,7,B7_N0,3.3-V LVTTL,,,,
HEX2_D[2],Unknown,PIN_B16,7,B7_N1,3.3-V LVTTL,,,,
HEX2_D[1],Unknown,PIN_A16,7,B7_N1,3.3-V LVTTL,,,,
HEX2_D[0],Unknown,PIN_D15,7,B7_N0,3.3-V LVTTL,,,,
HEX2_DP,Unknown,PIN_A18,7,B7_N0,3.3-V LVTTL,,,,
HEX3_D[6],Unknown,PIN_G15,7,B7_N0,3.3-V LVTTL,,,,
HEX3_D[5],Unknown,PIN_D19,7,B7_N0,3.3-V LVTTL,,,,
HEX3_D[4],Unknown,PIN_C19,7,B7_N0,3.3-V LVTTL,,,,
HEX3_D[3],Unknown,PIN_B19,7,B7_N0,3.3-V LVTTL,,,,
HEX3_D[2],Unknown,PIN_A19,7,B7_N0,3.3-V LVTTL,,,,
HEX3_D[1],Unknown,PIN_F15,7,B7_N0,3.3-V LVTTL,,,,
HEX3_D[0],Unknown,PIN_B18,7,B7_N0,3.3-V LVTTL,,,,
HEX3_DP,Unknown,PIN_G16,7,B7_N0,3.3-V LVTTL,,,,
DRAM_CAS_N,Unknown,PIN_G8,8,B8_N1,3.3-V LVTTL,,,,
DRAM_CS_N,Unknown,PIN_G7,8,B8_N1,3.3-V LVTTL,,,,
DRAM_CLK,Unknown,PIN_E5,8,B8_N1,3.3-V LVTTL,,,,
DRAM_CKE,Unknown,PIN_E6,8,B8_N1,3.3-V LVTTL,,,,
DRAM_BA_0,Unknown,PIN_B5,8,B8_N1,3.3-V LVTTL,,,,
DRAM_BA_1,Unknown,PIN_A4,8,B8_N1,3.3-V LVTTL,,,,
DRAM_DQ[15],Unknown,PIN_F10,8,B8_N1,3.3-V LVTTL,,,,
DRAM_DQ[14],Unknown,PIN_E10,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[13],Unknown,PIN_A10,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[12],Unknown,PIN_B10,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[11],Unknown,PIN_C10,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[10],Unknown,PIN_A9,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[9],Unknown,PIN_B9,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[8],Unknown,PIN_A8,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[7],Unknown,PIN_F8,8,B8_N1,3.3-V LVTTL,,,,
DRAM_DQ[6],Unknown,PIN_H9,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[5],Unknown,PIN_G9,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[4],Unknown,PIN_F9,8,B8_N1,3.3-V LVTTL,,,,
DRAM_DQ[3],Unknown,PIN_E9,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[2],Unknown,PIN_H10,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[1],Unknown,PIN_G10,8,B8_N0,3.3-V LVTTL,,,,
DRAM_DQ[0],Unknown,PIN_D10,8,B8_N0,3.3-V LVTTL,,,,
DRAM_LDQM,Unknown,PIN_E7,8,B8_N1,3.3-V LVTTL,,,,
DRAM_UDQM,Unknown,PIN_B8,8,B8_N0,3.3-V LVTTL,,,,
DRAM_RAS_N,Unknown,PIN_F7,8,B8_N1,3.3-V LVTTL,,,,
DRAM_WE_N,Unknown,PIN_D6,8,B8_N1,3.3-V LVTTL,,,,
CLOCK_50_2,Unknown,PIN_B12,7,B7_N1,3.3-V LVTTL,,,,
DRAM_ADDR[12],Unknown,PIN_C8,8,B8_N0,3.3-V LVTTL,,,,
DRAM_ADDR[11],Unknown,PIN_A7,8,B8_N0,3.3-V LVTTL,,,,
DRAM_ADDR[10],Unknown,PIN_B4,8,B8_N1,3.3-V LVTTL,,,,
DRAM_ADDR[9],Unknown,PIN_B7,8,B8_N0,3.3-V LVTTL,,,,
DRAM_ADDR[8],Unknown,PIN_C7,8,B8_N0,3.3-V LVTTL,,,,
DRAM_ADDR[7],Unknown,PIN_A6,8,B8_N0,3.3-V LVTTL,,,,
DRAM_ADDR[6],Unknown,PIN_B6,8,B8_N0,3.3-V LVTTL,,,,
DRAM_ADDR[5],Unknown,PIN_C6,8,B8_N1,3.3-V LVTTL,,,,
DRAM_ADDR[4],Unknown,PIN_A5,8,B8_N0,3.3-V LVTTL,,,,
DRAM_ADDR[3],Unknown,PIN_C3,8,B8_N1,3.3-V LVTTL,,,,
DRAM_ADDR[2],Unknown,PIN_B3,8,B8_N1,3.3-V LVTTL,,,,
DRAM_ADDR[1],Unknown,PIN_A3,8,B8_N1,3.3-V LVTTL,,,,
DRAM_ADDR[0],Unknown,PIN_C4,8,B8_N1,3.3-V LVTTL,,,,
